BTC,bitcoin
ETH,ethereum
USDT,tether
BNB,binance-coin
XRP,ripple
USDC,usdc
SOL,solana
OKB,okb
ADA,cardano
DOGE,dogecoin
TRX,tron
LINK,chainlink
TON,tokamaknetwork
DAI,dai
MATIC,matictoken
DOT,polkadot100
WBTC,wrapped-bitcoin
LTC,litecoin
BCH,bitcoin-cash
SHIB,shibainu
TUSD,true-usd
AVAX,avalanche
LEO,leotoken
XLM,stellar
UNI,uniswap
XMR,monero
ATOM,cosmos
ETC,ethereum-classic
BUSD,binanceusd
HBAR,hederahashgraph
FIL,filecoinnew
APT,aptos
LDO,lidodaotoken
ICP,dfinity
CRO,crypto-com-chain
MKR,maker
VET,vechaincom
QNT,quant
AAVE,aave-new
NEAR,nearprotocol
OP,optimism
ARB,arbitrum
INJ,injectiveprotocol
GRT,graph
STX,blockstack
BSV,bitcoin-cash-sv
RNDR,rndrtoken
RUNE,thorchain
ALGO,algorand
AXS,axieinfinity
IMX,immutablex
EGLD,elrond
SNX,synthetix-network-token
EOS,eos
XTZ,tezos
SAND,thesandbox
XDC,xinfin
THETA,thetatoken
FTM,fantom
MANA,decentraland
NEO,neo
PAXG,paxgold
MINA,minaprotocol
GUSD,geminidollar
FLOW,flow
XEC,ecash
GT,gatechaintoken
CFX,confluxtoken
CHZ,chiliz
OCEAN,ocean-protocol
PEPE,spartanprotocol
USDP,paxosstandard
RPL,rocketpoolnet
FDUSD,first-digital
MIOTA,iota
GALA,gala
ZEC,zcash
FXS,frax-share
KCS,kcs
DYDX,dydxexchange
TWT,trustwallet
CRV,curve
KLAY,klaytn
GMX,gmx
APE,apecoin-com
FTT,ftx-token
SUI,sui
WOO,wootrade
BTT,bittorrent-new
HT,ht
LUNC,terra
FLOKI,floki-inu
COMP,compound
WEMIX,wemix
NEXO,nexo
ROSE,oasislabs
NFT,global-fan-token
DASH,dash
ZIL,zilliqa
AR,arweave
QTUM,qtum
1INCH,1inchtoken
BAT,basic-attention-token
SFP,safepal
MASK,masknetwork
AGIX,agix
FET,fetchai
CAKE,pancakeswap
BABYDOGE,babydoge
KAVA,kava
JST,justgov
WLD,world-coin
MX,mxtoken
ENJ,enjin-coin
ASTR,plasm
GNO,gnosis-gno
LUNA,luna-new
XEM,nem
BTG,bitcoin-gold
LRC,loopring
TRB,tellor
ELF,aelf
CELO,celo
TFUEL,thetafuel
ENS,ethereumnameservice
CVX,convex-finance
BLUR,blur
HOT,holo
GMT,gomining-token
IOTX,lotex
ANKR,ankr
T,threshold-network
HNT,hnt
GLM,golem-network-tokens
YFI,yearnfinance
MC,magic-crystal
RVN,ravencoin
DCR,decred
PENDLE,pendlefinance
BAND,bandprotocol
ICX,icon
ZRX,0x
WAVES,waves
ANT,aragon
WAXP,wax
SEI,sei-network
OKT,okexchaintoken
LPT,livepeer
KUB,bitkubcoin
JASMY,jasmy
SC,siacoin
ONT,ont
ILV,iiiuvium
AUDIO,audius
BAL,balancer
LOOM,loom-network
ORBS,orbs
POLYX,polymesh
TOMO,tomochain
SXP,swipe
KSM,kusama
BONE,bone-shibaswap
HIVE,hiveio
STORJ,storj
LQTY,lqty
BICO,biconomy
GLMR,glimmer
ONE,one
OSMO,osmosis
IOST,iost
ETHW,ethw
SUSHI,sushi
TRIBE,tribe
SSV,ssv-network
KNC,kyber-network
TOMI,tomi-com
ZEN,zencash
KDA,kadena
CKB,nervosckb
POWR,power-ledger
MAGIC,magic
STRAX,strax
STPT,stpt
FLR,flarenetworks
SKL,skalenetwork
RIF,rif
DGB,digibyte
LSK,lisk
FLUX,zelnetwork
SNT,status
CTSI,cartesi
UMA,uma
ACH,alchemypay
CELR,celernetwork
PYR,vulcan-forged
USTC,terrausd
TKO,tko
TRAC,trac
PUNDIX,pundi-x-2
API3,api3
RSR,rsr
KEEP,keepnetwork
C98,coin98
STG,stargate-finance
ELON,dogelon-mars
PLA,velorex
MOB,mobilecoin
wNXM,wrappednxm
ARK,ark
RACA,radiocaca
RBN,ribbon-finance
STEEM,steem
MTL,metal
XNO(NANO),raiblocks
ID,everest
CVC,civic
NMR,numeraire
BLZ,bluzelle
XVS,xvs
JOE,traderjoe
DEXE,dexe
ARDR,ardor
VTHO,vethor-token
RLC,rlc
NYM,nym
IQ,everipedia
YGG,yield-guild-games
CHR,chromia
OMG,omisego
PROM,prometeus
EDU,open-campus
BNT,bancor
POND,marlin
RAD,radicle
DENT,dent
REQ,request-network
STMX,storm
BNX,binaryx
OXT,orchid
RON,ronin
SLP,smalllovepotion
AMP,amp
QKC,quarkchain
OGN,origintoken
DODO,dodo
NKN,nkn
CYBER,cyberconnect
SUN,sunnew
SYS,syscoin
WIN,winkorg
MNW,morpheus-network-mnw
PHA,phala
ALPHA,alphafinancelab
GTC,b-cube-ai
HIGH,highstreet
XVG,verge
PEOPLE,constitutiondao
SCRT,secretnetwork
HIFI,hifi-finance-v2
LINA,linearfinance
HFT,hashflow
CEL,celsius
VRA,verasity
ARPA,arpa
MBL,moviebloc
PERP,perp
MAV,maverick-protocol
MDX,mdex
